Date,"BURNED CALORIES" (kcal),"CALORIE DEFICIT" (kcal),"DISTANCE (R+W)" (km),"DOUBLE SUPPORT TIME" (%),"FLIGHTS CLIMBED","NET CALORIES" (kcal),"RESTING CALORIES" (kcal),"SLEEP","STEP LENGTH" (in),"STEPS","TOTAL CALORIES" (kcal),"WALKING ASYMMETRY" (%)
"06/03/2024","4.65","2004.65","0.21","29.6","2","1354.18","1349.53","5h 41m","41.73","311","1354.18",
"07/03/2024","417.63","2417.63","10.78","23.1 - 32.4","12","1796.86","1379.24","5h 49m","20.87 - 32.28","14308","1796.86","0.41"
"08/03/2024","8.1","2008.11","0.34",,"4","1358.02","1349.92","7h 13m",,"453","1358.02",
"09/03/2024","70.09","2070.09","2.31","24.4 - 29.9","1","1424.24","1354.14","7h 30m","24.02 - 29.92","3466","1424.24","0.43"
"10/03/2024","132.11","2132.11","4.57","25 - 35.5","1","1490.43","1358.33","4h 23m","18.5 - 29.53","6551","1490.43","6.7"
"11/03/2024","155.24","2155.24","5.07","25.4 - 36",,"1515.85","1360.61","6h 4m","18.5 - 32.28","7002","1515.85","0.29"
"12/03/2024","6.22","2006.22","0.24","30.7","1","1355.7","1349.48","6h 28m","20.08","366","1355.7",
"13/03/2024","22.55","2022.55","0.63","29.4 - 33.8","4","1372.65","1350.11","6h 14m","17.32 - 24.02","908","1372.65","1"
"14/03/2024","277.89","2277.89","8.32","25.9 - 34.3","6","1651.38","1373.49","5h 31m","18.9 - 30.31","11959","1651.38","6.95"
"15/03/2024","198.37","2198.37","6.61","25.5 - 33.8","2","1562.18","1363.81","6h 13m","19.69 - 30.71","9127","1562.18","2.46"
"16/03/2024","136.19","2136.2","4","24.3 - 34.9","2","1492.85","1356.65","6h 27m","19.69 - 30.71","5305","1492.85","0.25"
"17/03/2024","163.18","2163.18","5.07","26.7 - 34.5","3","1524.11","1360.93","5h 48m","16.54 - 27.17","7671","1524.11","6.57"
"18/03/2024","8.53","2008.53","0.25","29.2 - 30.7","2","1358.46","1349.93","5h 6m","21.26 - 23.23","450","1358.46","2"
"19/03/2024","341.56","2341.56","10.11","25.8 - 34.5","9","1712.81","1371.24","6h 17m","19.69 - 30.71","13870","1712.81","3.09"
"20/03/2024","8.1","2008.1","0.25","30 - 33.5","2","1358.05","1349.95","5h 22m","14.57 - 32.68","362","1358.05",
"21/03/2024","243.7","2243.7","7.42","24.5 - 34.7","6","1609.65","1365.94","5h 46m","18.9 - 32.68","10369","1609.65","0.26"
"22/03/2024","84.44","2084.44","2.6","27.2 - 34","7","1438.82","1354.38","5h 44m","16.14 - 27.56","3751","1438.82","0.64"
"23/03/2024","40.34","2040.34","1.06","26.5 - 31.8","4","1391.21","1350.87","5h 10m","15.75 - 25.98","1523","1391.21","10"
"24/03/2024","1.37","2001.37","0.11","28.7",,"1350.82","1349.45","5h 24m","27.95","174","1350.82",
"25/03/2024","115.99","2115.99","3.7","25.6 - 31.5","3","1462.32","1346.33","53m","20.47 - 29.92","5590","1462.32","0.77"
"26/03/2024","2.16","2002.16","0.12",,,"1351.65","1349.49","2h 53m",,"171","1351.65",
"27/03/2024","43.8","2043.8","1.12","25.3 - 37.3","4","1394.56","1350.76","5h 5m","17.32 - 27.17","1583","1394.56",
"28/03/2024","146.81","2146.81","4.45","27.1 - 35.8",,"1509.87","1363.06","5h 43m","15.75 - 26.77","6427","1509.87","0.43"
"29/03/2024","13.87","2013.87","0.21","25.4","2","1363.09","1349.22","5h 52m","40.94","295","1363.09",
"30/03/2024","6.3","2006.3","0.13",,"2","1355.67","1349.37","4h 32m",,"192","1355.67",
"31/03/2024","6.29","2006.29","0.08",,"1","1299.47","1293.18","4h 23m",,"117","1299.47",
